2025-09-10 21:52:50 - INFO - Portfolio: $100000.00|Cash: $20000.00|Positions: 5|Buying Power: $40000.00
2025-09-10 23:02:13 - INFO - Portfolio: $100000.00|Cash: $20000.00|Positions: 5|Buying Power: $40000.00
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $5,000.00|Positions: 0|Buying Power: $5,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $0.00|Positions: 0|Buying Power: $0.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $1,000.00|Cash: $500.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $1,000,000.00|Cash: $500,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100.00|Cash: $50.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:11:50 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
2025-09-10 23:12:09 - INFO - Portfolio: $100,000.00|Cash: $50,000.00|Positions: 0|Buying Power: $50,000.00|Day Trades: 0
